                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                0.97992,                0.55156,                 0.9748,                0.88386,                0.83094,                0.88922,                0.61256,                 1.0926,                0.64123,                 1.0858,             0.00074282,             0.00074282,             0.00074282
                    114,                 0.9496,                0.54561,                0.97628,                0.86868,                0.85663,                0.89024,                0.62025,                 1.0743,                0.62024,                 1.0718,             0.00073456,             0.00073456,             0.00073456
                    115,                0.92228,                0.53119,                0.97387,                0.87971,                0.81735,                0.87988,                 0.6057,                 1.0885,                0.64526,                 1.0819,             0.00072631,             0.00072631,             0.00072631
                    116,                0.92633,                0.54923,                0.97555,                0.87303,                0.83662,                0.89095,                0.61656,                 1.0748,                0.62283,                 1.0712,             0.00071806,             0.00071806,             0.00071806
                    117,                0.90392,                0.51915,                0.96935,                0.85006,                0.83989,                0.88891,                0.61622,                 1.0704,                0.62622,                 1.0736,             0.00070981,             0.00070981,             0.00070981
                    118,                0.94283,                0.53573,                0.97013,                0.86311,                0.83997,                0.88063,                0.61044,                   1.08,                0.64383,                 1.0808,             0.00070156,             0.00070156,             0.00070156
                    119,                0.93106,                0.52885,                0.97206,                0.90191,                0.82074,                0.88806,                0.62491,                 1.0861,                 0.6443,                 1.0707,             0.00069331,             0.00069331,             0.00069331
                    120,                0.92244,                0.52506,                0.97002,                0.87665,                0.83701,                0.89067,                0.61286,                  1.088,                0.63223,                 1.0809,             0.00068505,             0.00068505,             0.00068505
                    121,                0.95098,                0.53648,                0.97225,                0.88112,                0.81349,                0.87757,                 0.6109,                 1.0741,                0.64361,                 1.0714,              0.0006768,              0.0006768,              0.0006768
                    122,                0.90639,                0.52577,                0.97369,                0.87085,                0.82727,                0.88949,                0.61719,                 1.0857,                0.63959,                 1.0765,             0.00066855,             0.00066855,             0.00066855
